Prompts,Jokes,promptScores,funnyScores,grammarScores,lengthScores,totalScores
Make me laugh with a joke about a misinterpreted compliment.,"I must have a nice butt, because, everytime I'm walking away from talking to someone they say ""What an ass?""",2,2,1,0,5
Create a humorous observation about an outdated aspect of a classic game.,You can tell Monopoly's an old game because there's a luxury tax and rich people can go to jail.,2,1,1,1,5
Can you come up with a joke that plays on expectations?,"How many Atheists does it take to change a lightbulb? I don't know, they're all too busy complaining about this joke.",2,2,1,0,5
Give me a joke about a clever play on words.,If you were on top of a pile of gay guys... would you get off?,0,2,1,1,4
Make me laugh with a joke about a social justice warrior.,What do you get if you cross a SJW and Jason Voorhees? Social justice.,2,2,1,1,6
Make me laugh with a joke about Christmas.,Santa: its snowing Christmas is canceled Put everything in the garbage Elves: no! Rudolph: what if I told you I had a very small red light,2,2,0,0,4
Give me a joke about a common household task.,I wonder how many lightbulbs it takes to change a baby.,1,2,1,1,5
Make me laugh with a joke about an unusual diet.,Did you hear about the man who ate nothing but prune juice and viagra? He couldn't tell if he was coming or going.,2,2,1,0,5
Give me a joke about a job interview.,"I went for a job interview. The bloke asked, ""Where do you see yourself in 10 yrs time?"" ""Same as now - in photos and mirrors,"" I replied",2,2,1,0,5
Give me a joke about a pirate in a unexpected situation.,"A pirate walks into a brothel and says... ""ARG! THERE SHE BLOWS!"" Edit: Wow 8 views. thanks guys :D",2,2,1,1,6
Make me laugh with a joke about a red flag in a relationship.,"If your best clothes proudly advertise Monster Energy Drink, you can't be left alone with your best looking cousin.",2,1,1,0,4
Make a joke about a bad HR response.,"Oh, you were sexually harassed in the workplace? Sounds like a personnel problem.",2,2,1,1,6
Give me a joke that plays with different cultural identities.,what did the asian german say to that Jew joke that hit the front page ? I Reich,2,2,0,1,5
Can you come up with a pun about time?,How do crows know what time is it? They have the knights watch .,2,2,0,1,5
Can you come up with a joke about dolphins?,Let's hold off calling dolphins the smartest animal until they stop getting caught in nets.,2,0,1,1,4
Tell me a joke about a high school reunion.,at my high school reunion everyone kept asking where my date was so I finally told them my dog ate him. no one laughed,2,2,1,0,5
Create a humorous joke about personifying an inanimate object.,"In time, the dust settled, and the dust took a job it hated and married someone it could barely tolerate",2,0,1,0,3
Give me a joke about California stereotypes.,California is the best state. The nerds make the apps and the agents make the moving pictures. We keep the idiots happy. Give us your water.,2,2,1,0,5
Make me laugh with a yo mama joke.,Yo mama so fat She couldn't fit in this joke.,2,2,0,1,5
Create a humorous joke about a monk's grocery list.,"This bread is my meat, this wine is my blood... ... and this beer and milk are... -Master, that's enough, I ran out of ink!",2,2,1,0,5
Give me a joke about a math joke that's a play on words.,What's 6.9? 69 interrupted by a period.,2,2,1,1,6
Make me laugh with a joke about the DMV.,"If they want to increase the use of public transit, they should start using a scale at the DMV license renewal counter.",2,0,1,0,3
Make me laugh with a joke about procrastination.,"You can't change the past. But you can sit around in your underwear, dwelling on it and crying over what could have been.",2,2,1,0,5
Make me laugh with a joke about a horse.,I had to take my horse to get surgery last week The doctor told me he's in stable condition,2,2,0,1,5
Give me a joke about a job interview.,[shows up 2 hours late for interview] Sorry I was trying to get out of a beanbag chair.,2,2,1,1,6
Give me a joke about a politician's unusual behavior.,It was so cold in D.C. today... ...that I saw a politician with his hands in his own pockets.,2,2,1,1,6
Make me laugh with a joke about a plane.,What sound does a bouncing plane make? Boeing boeing boeing,2,2,1,1,6
Give me a joke about a sex toy.,I could never be friends with a dildo. They're stuck-up cunts.,2,2,1,1,6
Give me a joke about being two-faced.,If your going to be two faced at least make one of them pretty.,2,1,0,1,4
Give me a joke about a unique skill or talent.,Masturbation should be considered a craft... as it is 100% hand made.,2,1,1,1,5
Give me a joke about technology malfunctioning.,I dropped my phone in the bath Now it's syncing.,2,2,1,1,6
Create a joke about a surprising achievement.,I was in a masturbating competition... I came 1st twice!,2,2,1,1,6
Make me laugh with a joke about a disease.,"Ebola causes nausea, headaches and is hard to get rid of. Is it a disease or a U2 album?",2,0,1,1,4
Make me laugh with a joke about Jehovah's Witnesses.,The best part of Halloween is all the Jehovah's Witnesses wondering why they're being given candy.,2,0,1,1,4
Give me a math joke.,Why did 8 break up with 7? Because 7 always came first!!!,2,2,1,1,6
Make me laugh with a joke about a circus animal.,Q: What happened when the dog went to the flea circus? - A: It stole the show!,2,2,1,1,6
Give me a joke about a surprising solution to a global issue.,I was worried about the population problem But then I realized we just shouldn't give a fuck.,2,2,0,1,5
Give me a joke about a student's creative math answer.,"My teacher always hated my answers to her math questions. ""If I have 6 candy bars in one hand and 7 in the other, what do I have?"" Diabetes?",2,2,1,0,5
Can you come up with a joke about a play on expectations?,"There are 11 types of people in the world... Those that understand binary, those that don't, and those that thought this would be the 10 kinds of people joke.",2,2,1,0,5
Can you come up with a joke about an exorcist?,If you don't pay your exorcist you can get repossessed. HA.,2,2,1,1,6
"I cannot generate a prompt for a joke that contains harmful or offensive content, including racism. Is there anything else I can help you with?",Whats the difference between racism and asians? Racism has many faces.,0,2,1,1,4
Make me laugh with a joke about Batman.,What do you call it when Batman leaves church early? Christian Bale,2,1,1,1,5
Give me a dark humor joke about summer camps.,Where do kids with ADHD go for the summer? Concentration camp.,2,2,1,1,6
Create a humorous joke about paranoia.,"I'm not paranoid, but I feel like there's someone reading this...",2,2,1,1,6
Give me a joke about a physics pun.,Why do tachyons program in assembly? Because it's faster then C,2,2,0,1,5
Tell me a joke about adoption.,"""Son, I wanted to let you know you were adopted,"" my dad told me. ""Are you kidding? Really?"" I shouted. ""Yup, get ready,"" he said. ""They'll be picking you up in about an hour.""",2,2,1,0,5
Give me a joke about a beer slogan.,Butte Creek beer slogan! It dont taste shitty!,2,0,0,1,3
Give me a dark joke about a common saying.,"Where there is a will, there is usually a death.",2,0,1,1,4
Give me a joke about a bad date.,I told her it's been a while. She told me that was fine. It's just like riding a bike. Now she's mad I checked her for proper inflation,2,2,1,0,5
Tell me a joke about clickbait.,I finally figured out the secret to click bait.,2,1,1,1,5
Make me laugh with a joke about a misunderstanding.,I don't know why people are upset about the Florida night club incident. I would love to get free shots at my local bar!,2,2,1,0,5
Make me laugh with a joke about social media.,"If you can read this please let me know because, it means I blocked the wrong person. I'm still getting used to this Stupid timeline!",2,2,1,0,5
Tell me a joke about a therapy session.,"Show me on this Russian nesting doll where the bad man hid many more, smaller versions of you",2,0,1,1,4
Can you come up with a tech-related pun?,What do you call the next generation of motherboard? A daughterboard.,2,2,1,1,6
Tell me a joke about a clever observation.,There are two types of people in this world Those who can extrapolate information based off of the given context,2,0,0,0,2
Give me a joke about a cultural event.,what's the difference between an irish wedding and an irish funeral? one guest,2,1,1,1,5
Give me a joke about a mother-child conversation.,I try to teach my mom something new everyday. Because you're supposed to learn from your mistakes. Edit: Apparently a lot of you are all teaching my mother new things too. Weird.,2,2,0,0,4
Create a humorous classified ad.,For sale  Dead Budgie Not going cheep,2,0,0,1,3
Create a joke about a play on words in a medical setting.,If mental hospitals had walkways... They'd be called psychopaths.,2,2,1,1,6
Create a joke about a clever play on words.,First take an ass and put another ass behind it. Then I come. Then the whole nation comes after me.... That is how you spell assassination,2,2,1,0,5
Give me a joke about a punny microbiology incident.,"What did the bacterium do when its sibling stepped on its toe? ""My toe sis!""",2,2,1,1,6
Give me a joke about a play on words.,Did you hear about the power surge across the street? I heard it was a shocking experience.,2,2,1,1,6
Give me a dirty Star Wars pun.,Why was Han Solo so suspicious when he put his penis inside Princess Leia for the first time? ...it was Luke warm.,2,2,1,0,5
Give me a joke about a book title.,How I Crossed the Desert by Rhoda  Camul,2,0,0,1,3
Create a joke about a funeral.,The inventor of inappropriate innuendo has died. His family are taking it really hard.,2,1,0,1,4
Give me a joke about a misunderstanding.,A roofie? .. but how does a roof take a picture of itself? I'm so confused.,2,2,1,1,6
Give me a humorous observation about adulting.,I wonder if lining up beers in my refrigerator will ever stop being exciting.,2,2,1,1,6
Can you come up with a clever play on words?,"What's the difference between a 'hippo' and a 'Zippo'? One's really heavy, and the other's a little lighter. - [*Masai Graham*](https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-34039927)",2,0,1,0,3
Can you come up with a humorous rant about parenting?,Child protective services? Who's protecting the parents Huh? WHO'S PROTECTING THE PARENTS?,2,2,1,1,6
Create a humorous joke about ants in the workplace.,"""We had to let him go. He was only pulling 15 times his weight."" - Corporate ants.",2,0,1,1,4
Give me a joke about a miscommunication.,"I've looked all over the Google and ""fuck you sideways"" is not French for anything, Sir.",2,1,1,1,5
Give me a joke about a video game reference.,What is green and has cake? Grass. The cake is a lie.,2,2,1,1,6
Create a joke that plays on words.,Did you hear the one about the tiny prisoner who went down the stairs? It's a little condescending. ;),2,2,1,0,5
Give me a joke about politics.,The problem with political jokes is that they always get elected,2,0,1,1,4
Can you come up with a dark humor joke about politics?,Political(&amp; Subtle) Joke Why was the Tree afraid of the Bush? Because the Bush did 9/11,2,0,0,1,3
Make me laugh with a joke about a diet.,I thought about going on an all-almond diet But that's just nuts.,2,2,1,1,6
Give me a joke about a sarcastic apology.,"A Women' Apology I am sorry, But it was Your mistake.",2,0,0,1,3
Give me a joke about outdated technology.,PLEASE LEAVE A VOICEMAIL (if you're calling from 1986),2,0,1,1,4
Make me laugh with a joke about a lightbulb.,How many mexicans does it take to change a lightbulb? Only juan.,2,2,1,1,6
Give me a joke about being out of touch with modern culture.,OMG I'M SO OLD AND OUT OF TOUCH WITH POP MUSIC WHAT SONG DOES BREXIT SING,2,0,0,1,3
Give me a joke about a hipster's medical emergency.,[ER] HIPSTER: I fell off my acoustic motorcycle & broke my mustache twirler. DOC:... H: I fell off my bike & broke my hand. D: Rub kale on it.,2,2,1,0,5
Give me a joke about a cultural stereotype.,My German plumber just hooked my gas line to my shower. I guess old habits die hard.,2,2,1,1,6
Create a pun about a software or application.,"When Jedi need to read PDFs, they use Adobe Wan Kenobi.",2,0,1,1,4
I cannot generate a prompt for a joke that makes light of child abuse and rape. Is there something else I can help you with?,What's the difference between a dead baby and a sandwich? I don't rape the sandwich before I eat it.,0,2,1,0,3
Create a joke about a profession's motivation.,"Psychics develop their ""6th sense"" as soon as their sense of shame is dwarfed by their sense of how gullible people are.",2,0,1,0,3
Give me a joke about a joke.,heres a bad joke your life,1,0,0,1,2
Give me a joke about marriage.,You know that warm feeling you get when you look at your spouse? It's called acid reflux.,2,2,1,1,6
Can you come up with a joke about a stalker?,"My girlfriend just got mad and accused me of stalking her. Well, she's not actually my girlfriend yet.",2,2,1,0,5
Make me laugh with a joke about a chicken.,Why did the chicken commit suicide? To get to the other side...,2,2,1,1,6
Give me a joke about a spy agency.,What did the NSA agent say to the other NSA agent when he saw the German Chancellor? I'd tap that.,2,2,1,1,6
Make me laugh with a joke about a play on words.,I met this vegetarian girl yesterday i had never met herbivore,2,2,0,1,5
Make me laugh with a joke about selfies.,It's ironic how the people that take a picture of themself in the mirror can't see how stupid they look.,2,1,1,0,4
Can you come up with a humorous crossover between two fictional characters?,Who would be Sub Zero's perfect rival in the Marvel Universe? Thor.,2,1,1,1,5
Make me laugh with a joke about a terrorist organization.,What is Al Qaeda's favourite team? New York Jets,2,0,1,1,4
Make me uncomfortable with a joke.,dark humor never gets old just like a kid with cancer,2,0,1,1,4
Make me laugh with a joke about a play on words.,What do you call a Greek guy walking down the stairs? Con-Descending,2,2,1,1,6
Tell me a joke about a dog's puns.,What is Fido the dog's favorite part of a tree? Bark! What is his favorite canine? Wolf! How does he like his sex? Ruff!,2,2,1,0,5
Give me a joke about a fitness enthusiast's past relationship.,Fitness friend: Do you know what you're putting in your body? *flashes back to ex *shudders,2,0,1,1,4
Give me a funny misunderstanding joke.,Me: Two fingers here. Son: OK. M: One in the other hole. S: Got it. M: Relax your wrist. Wife: WHAT ARE YOU TEACHING HIM? M: Bowling. Chill.,2,2,1,0,5
Tell me a joke about a cultural misunderstanding.,"What I admire about England I'm a Malaysian man,and I went to England for my 2 weeks vacation.What surprise me,the kid in England,5-7 years old,already know how to speak English",2,2,0,0,4
,,1.92,1.41,0.8,0.68,4.81
,,96,70.5,80,68,80.16666667
